Period,March 24, 2018 -> Today at 2:59 PM,

,Time,Butler Trail - Crenshaw Bridge PC (Urban Trail)Butler Trail - Crenshaw Bridge PC (Urban Trail),Butler Trail - South Lamar PC (Urban Trail)Butler Trail - South Lamar PC (Urban Trail),Butler Trail - North Congress PC (Urban Trail)Butler Trail - North Congress PC (Urban Trail),Butler Trail - Longhorn Dam PC (Urban Trail)Butler Trail - Longhorn Dam PC (Urban Trail),Butler Trail - Crenshaw Bridge PC (Urban Trail)Channel 1 IN,Butler Trail - South Lamar PC (Urban Trail)Butler Trail (TBD) Pedestrians Eastbound,Butler Trail - North Congress PC (Urban Trail)Butler Trail (TBD) Pedestrians Eastbound,Butler Trail - Longhorn Dam PC (Urban Trail)Channel 1 IN,Butler Trail - Crenshaw Bridge PC (Urban Trail)Channel 2 OUT,Butler Trail - South Lamar PC (Urban Trail)Butler Trail (TBD) Pedestrians Westbound,Butler Trail - North Congress PC (Urban Trail)Butler Trail (TBD) Pedestrians Westbound,Butler Trail - Longhorn Dam PC (Urban Trail)Channel 2 OUT,Butler Trail - Crenshaw Bridge PC (Urban Trail)Channel 3 IN,Butler Trail - South Lamar PC (Urban Trail)Butler Trail (TBD) Cyclists Eastbound,Butler Trail - North Congress PC (Urban Trail)Butler Trail (TBD) Cyclists Eastbound,Butler Trail - Longhorn Dam PC (Urban Trail)Channel 3 IN,Butler Trail - Crenshaw Bridge PC (Urban Trail)Channel 4 OUT,Butler Trail - South Lamar PC (Urban Trail)Butler Trail (TBD) Cyclists Westbound,Butler Trail - North Congress PC (Urban Trail)Butler Trail (TBD) Cyclists Westbound,Butler Trail - Longhorn Dam PC (Urban Trail)Channel 4 OUT,
,Mar 24, 2018 12:00 AM,3,,,,1,,,,2,,,,,,,,,,,,
,Mar 24, 2018 12:15 AM,1,,,,,,,,,,,,1,,,,,,,,
,Mar 24, 2018 12:30 AM,,,,,,,,,,,,,,,,,,,,,
,Mar 24, 2018 12:45 AM,,,,,,,,,,,,,,,,,,,,,
,Mar 24, 2018 1:00 AM,,,,,,,,,,,,,,,,,,,,,
,Mar 24, 2018 1:15 AM,,,,,,,,,,,,,,,,,,,,,
,Mar 24, 2018 1:30 AM,2,,,,,,,,1,,,,,,,,1,,,,
,Mar 24, 2018 1:45 AM,,,,,,,,,,,,,,,,,,,,,
,Mar 24, 2018 2:00 AM,,,,,,,,,,,,,,,,,,,,,
,Mar 24, 2018 2:15 AM,,,,,,,,,,,,,,,,,,,,,
,Mar 24, 2018 2:30 AM,,,,,,,,,,,,,,,,,,,,,
,Mar 24, 2018 2:45 AM,3,,,,,,,,3,,,,,,,,,,,,
,Mar 24, 2018 3:00 AM,,,,,,,,,,,,,,,,,,,,,
,Mar 24, 2018 3:15 AM,1,,,,,,,,,,,,,,,,1,,,,
,Mar 24, 2018 3:30 AM,,,,,,,,,,,,,,,,,,,,,
,Mar 24, 2018 3:45 AM,,,,,,,,,,,,,,,,,,,,,
,Mar 24, 2018 4:00 AM,,,,,,,,,,,,,,,,,,,,,
,Mar 24, 2018 4:15 AM,1,,,,,,,,1,,,,,,,,,,,,
,Mar 24, 2018 4:30 AM,,,,,,,,,,,,,,,,,,,,,
,Mar 24, 2018 4:45 AM,2,,,,1,,,,,,,,,,,,1,,,,
,Mar 24, 2018 5:00 AM,2,,,,,,,,2,,,,,,,,,,,,
,Mar 24, 2018 5:15 AM,,,,,,,,,,,,,,,,,,,,,
,Mar 24, 2018 5:30 AM,7,,,,2,,,,5,,,,,,,,,,,,
,Mar 24, 2018 5:45 AM,7,,,,2,,,,4,,,,,,,,1,,,,
,Mar 24, 2018 6:00 AM,15,,,,7,,,,8,,,,,,,,,,,,
,Mar 24, 2018 6:15 AM,46,,,,37,,,,9,,,,,,,,,,,,
,Mar 24, 2018 6:30 AM,29,,,,11,,,,18,,,,,,,,,,,,
,Mar 24, 2018 6:45 AM,44,,,,15,,,,29,,,,,,,,,,,,
,Mar 24, 2018 7:00 AM,68,,,,20,,,,46,,,,2,,,,,,,,
,Mar 24, 2018 7:15 AM,100,,,,68,,,,30,,,,,,,,2,,,,
,Mar 24, 2018 7:30 AM,94,,,,25,,,,62,,,,2,,,,5,,,,
,Mar 24, 2018 7:45 AM,79,,,,28,,,,41,,,,4,,,,6,,,,
,Mar 24, 2018 8:00 AM,125,,,,45,,,,60,,,,6,,,,14,,,,
,Mar 24, 2018 8:15 AM,119,,,,59,,,,54,,,,3,,,,3,,,,
,Mar 24, 2018 8:30 AM,148,,,,65,,,,71,,,,4,,,,8,,,,
,Mar 24, 2018 8:45 AM,118,,,,50,,,,59,,,,2,,,,7,,,,
,Mar 24, 2018 9:00 AM,158,,,,59,,,,71,,,,8,,,,20,,,,
,Mar 24, 2018 9:15 AM,156,,,,67,,,,74,,,,8,,,,7,,,,
,Mar 24, 2018 9:30 AM,164,,,,64,,,,86,,,,8,,,,6,,,,
,Mar 24, 2018 9:45 AM,160,,,,77,,,,73,,,,6,,,,4,,,,
,Mar 24, 2018 10:00 AM,167,,,,68,,,,81,,,,12,,,,6,,,,
,Mar 24, 2018 10:15 AM,165,,,,77,,,,73,,,,9,,,,6,,,,
,Mar 24, 2018 10:30 AM,185,,,,68,,,,88,,,,16,,,,13,,,,
,Mar 24, 2018 10:45 AM,138,,,,53,,,,58,,,,12,,,,15,,,,
,Mar 24, 2018 11:00 AM,175,,,,72,,,,80,,,,9,,,,14,,,,
,Mar 24, 2018 11:15 AM,143,,,,54,,,,56,,,,16,,,,17,,,,
,Mar 24, 2018 11:30 AM,160,,,,70,,,,58,,,,22,,,,10,,,,
,Mar 24, 2018 11:45 AM,123,,,,45,,,,53,,,,4,,,,21,,,,
,Mar 24, 2018 12:00 PM,132,,,,51,,,,54,,,,20,,,,7,,,,
,Mar 24, 2018 12:15 PM,124,,,,65,,,,28,,,,23,,,,8,,,,
,Mar 24, 2018 12:30 PM,113,,,,49,,,,45,,,,11,,,,8,,,,
,Mar 24, 2018 12:45 PM,109,,,,47,,,,35,,,,16,,,,11,,,,
,Mar 24, 2018 1:00 PM,116,,,,44,,,,29,,,,16,,,,27,,,,
,Mar 24, 2018 1:15 PM,88,,,,36,,,,21,,,,20,,,,11,,,,
,Mar 24, 2018 1:30 PM,87,,,,30,,,,27,,,,16,,,,14,,,,
,Mar 24, 2018 1:45 PM,108,,,,38,,,,37,,,,13,,,,20,,,,
,Mar 24, 2018 2:00 PM,99,,,,41,,,,36,,,,7,,,,15,,,,
,Mar 24, 2018 2:15 PM,81,,,,26,,,,27,,,,8,,,,20,,,,
,Mar 24, 2018 2:30 PM,83,,,,35,,,,25,,,,11,,,,12,,,,
,Mar 24, 2018 2:45 PM,71,,,,21,,,,16,,,,15,,,,19,,,,
,Mar 24, 2018 3:00 PM,89,,,,33,,,,25,,,,11,,,,20,,,,
,Mar 24, 2018 3:15 PM,68,,,,19,,,,23,,,,16,,,,10,,,,
,Mar 24, 2018 3:30 PM,67,,,,33,,,,17,,,,9,,,,8,,,,
,Mar 24, 2018 3:45 PM,74,,,,19,,,,30,,,,12,,,,13,,,,
,Mar 24, 2018 4:00 PM,72,,,,29,,,,17,,,,16,,,,10,,,,
,Mar 24, 2018 4:15 PM,68,,,,21,,,,19,,,,19,,,,9,,,,
,Mar 24, 2018 4:30 PM,74,,,,35,,,,17,,,,10,,,,12,,,,
,Mar 24, 2018 4:45 PM,62,,,,22,,,,13,,,,16,,,,11,,,,
,Mar 24, 2018 5:00 PM,64,,,,22,,,,10,,,,18,,,,14,,,,
,Mar 24, 2018 5:15 PM,65,,,,31,,,,14,,,,12,,,,8,,,,
,Mar 24, 2018 5:30 PM,62,,,,29,,,,18,,,,7,,,,8,,,,
,Mar 24, 2018 5:45 PM,54,,,,20,,,,15,,,,7,,,,12,,,,
,Mar 24, 2018 6:00 PM,69,,,,28,,,,18,,,,12,,,,11,,,,
,Mar 24, 2018 6:15 PM,43,,,,24,,,,12,,,,4,,,,3,,,,
,Mar 24, 2018 6:30 PM,58,,,,28,,,,18,,,,8,,,,4,,,,
,Mar 24, 2018 6:45 PM,44,,,,21,,,,11,,,,5,,,,7,,,,
,Mar 24, 2018 7:00 PM,57,,,,25,,,,17,,,,12,,,,3,,,,
,Mar 24, 2018 7:15 PM,58,,,,28,,,,15,,,,11,,,,4,,,,
,Mar 24, 2018 7:30 PM,47,,,,26,,,,12,,,,5,,,,4,,,,
,Mar 24, 2018 7:45 PM,45,,,,20,,,,16,,,,3,,,,6,,,,
,Mar 24, 2018 8:00 PM,30,,,,18,,,,6,,,,4,,,,2,,,,
,Mar 24, 2018 8:15 PM,20,,,,10,,,,2,,,,5,,,,3,,,,
,Mar 24, 2018 8:30 PM,19,,,,11,,,,,,,,6,,,,2,,,,
,Mar 24, 2018 8:45 PM,3,,,,,,,,3,,,,,,,,,,,,
,Mar 24, 2018 9:00 PM,,,,,,,,,,,,,,,,,,,,,
,Mar 24, 2018 9:15 PM,4,,,,2,,,,,,,,2,,,,,,,,
,Mar 24, 2018 9:30 PM,5,,,,2,,,,,,,,3,,,,,,,,
,Mar 24, 2018 9:45 PM,2,,,,1,,,,,,,,,,,,1,,,,
,Mar 24, 2018 10:00 PM,2,,,,1,,,,,,,,1,,,,,,,,
,Mar 24, 2018 10:15 PM,2,,,,2,,,,,,,,,,,,,,,,
,Mar 24, 2018 10:30 PM,2,,,,,,,,,,,,,,,,2,,,,
,Mar 24, 2018 10:45 PM,2,,,,,,,,,,,,2,,,,,,,,
,Mar 24, 2018 11:00 PM,4,,,,,,,,4,,,,,,,,,,,,
,Mar 24, 2018 11:15 PM,,,,,,,,,,,,,,,,,,,,,
,Mar 24, 2018 11:30 PM,1,,,,,,,,,,,,1,,,,,,,,
,Mar 24, 2018 11:45 PM,1,,,,,,,,,,,,,,,,1,,,,
,Mar 25, 2018 12:00 AM,1,,,,,,,,,,,,,,,,1,,,,
,Mar 25, 2018 12:15 AM,2,,,,,,,,,,,,,,,,2,,,,
,Mar 25, 2018 12:30 AM,,,,,,,,,,,,,,,,,,,,,
,Mar 25, 2018 12:45 AM,,,,,,,,,,,,,,,,,,,,,
,Mar 25, 2018 1:00 AM,,,,,,,,,,,,,,,,,,,,,
,Mar 25, 2018 1:15 AM,,,,,,,,,,,,,,,,,,,,,
,Mar 25, 2018 1:30 AM,,,,,,,,,,,,,,,,,,,,,
,Mar 25, 2018 1:45 AM,,,,,,,,,,,,,,,,,,,,,
,Mar 25, 2018 2:00 AM,,,,,,,,,,,,,,,,,,,,,
,Mar 25, 2018 2:15 AM,,,,,,,,,,,,,,,,,,,,,
,Mar 25, 2018 2:30 AM,,,,,,,,,,,,,,,,,,,,,
,Mar 25, 2018 2:45 AM,,,,,,,,,,,,,,,,,,,,,
,Mar 25, 2018 3:00 AM,,,,,,,,,,,,,,,,,,,,,
,Mar 25, 2018 3:15 AM,,,,,,,,,,,,,,,,,,,,,
,Mar 25, 2018 3:30 AM,,,,,,,,,,,,,,,,,,,,,
,Mar 25, 2018 3:45 AM,,,,,,,,,,,,,,,,,,,,,
,Mar 25, 2018 4:00 AM,,,,,,,,,,,,,,,,,,,,,
,Mar 25, 2018 4:15 AM,1,,,,,,,,1,,,,,,,,,,,,
,Mar 25, 2018 4:30 AM,,,,,,,,,,,,,,,,,,,,,
,Mar 25, 2018 4:45 AM,2,,,,2,,,,,,,,,,,,,,,,
,Mar 25, 2018 5:00 AM,,,,,,,,,,,,,,,,,,,,,
,Mar 25, 2018 5:15 AM,1,,,,,,,,,,,,,,,,1,,,,
,Mar 25, 2018 5:30 AM,1,,,,1,,,,,,,,,,,,,,,,
,Mar 25, 2018 5:45 AM,3,,,,,,,,3,,,,,,,,,,,,
,Mar 25, 2018 6:00 AM,10,,,,1,,,,9,,,,,,,,,,,,
,Mar 25, 2018 6:15 AM,15,,,,9,,,,5,,,,1,,,,,,,,
,Mar 25, 2018 6:30 AM,20,,,,5,,,,15,,,,,,,,,,,,
,Mar 25, 2018 6:45 AM,25,,,,15,,,,10,,,,,,,,,,,,
,Mar 25, 2018 7:00 AM,37,,,,14,,,,22,,,,,,,,1,,,,
,Mar 25, 2018 7:15 AM,42,,,,13,,,,26,,,,1,,,,2,,,,
,Mar 25, 2018 7:30 AM,76,,,,28,,,,47,,,,1,,,,,,,,
,Mar 25, 2018 7:45 AM,64,,,,29,,,,33,,,,,,,,2,,,,
,Mar 25, 2018 8:00 AM,94,,,,31,,,,54,,,,2,,,,7,,,,
,Mar 25, 2018 8:15 AM,90,,,,48,,,,39,,,,2,,,,1,,,,
,Mar 25, 2018 8:30 AM,116,,,,49,,,,58,,,,4,,,,5,,,,
,Mar 25, 2018 8:45 AM,120,,,,57,,,,62,,,,1,,,,,,,,
,Mar 25, 2018 9:00 AM,138,,,,53,,,,80,,,,,,,,5,,,,
,Mar 25, 2018 9:15 AM,152,,,,79,,,,55,,,,10,,,,8,,,,
,Mar 25, 2018 9:30 AM,130,,,,56,,,,56,,,,10,,,,8,,,,
,Mar 25, 2018 9:45 AM,128,,,,50,,,,63,,,,6,,,,9,,,,
,Mar 25, 2018 10:00 AM,137,,,,56,,,,61,,,,16,,,,4,,,,
,Mar 25, 2018 10:15 AM,148,,,,60,,,,69,,,,9,,,,10,,,,
,Mar 25, 2018 10:30 AM,154,,,,62,,,,71,,,,17,,,,4,,,,
,Mar 25, 2018 10:45 AM,170,,,,65,,,,72,,,,17,,,,16,,,,
,Mar 25, 2018 11:00 AM,154,,,,70,,,,64,,,,13,,,,7,,,,
