Time,Butler Trail : Crenshaw Bridge - Urban Trail,Butler Trail: South Lamar - Urban Trail,Butler Trail: North Congress - Urban Trail,Butler Trail : Longhorn Dam - Urban Trail,Shoal Creek Trail & 24th St- Urban Trail
2/17/16 0:00,4242,,,,
2/18/16 0:00,4979,,,,
2/19/16 0:00,5002,,,,
2/20/16 0:00,7697,,,,
2/21/16 0:00,5958,,,,
2/22/16 0:00,4289,,,,
2/23/16 0:00,2337,,,,
2/24/16 0:00,3888,,,,
2/25/16 0:00,4563,,,,
2/26/16 0:00,4266,,,,
2/27/16 0:00,9190,,,,
2/28/16 0:00,7599,,,,
2/29/16 0:00,4897,,,,
3/1/16 0:00,5130,,,,
3/2/16 0:00,5395,,,,
3/3/16 0:00,5307,,,,
3/4/16 0:00,5301,,,,
3/5/16 0:00,9092,,,,
3/6/16 0:00,18404,,,,
3/7/16 0:00,2934,,,,
3/8/16 0:00,3860,,,,
3/9/16 0:00,1163,,,,
3/10/16 0:00,1759,,,,
3/11/16 0:00,2056,,,,
3/12/16 0:00,7273,,,,
3/13/16 0:00,7481,,,,
3/14/16 0:00,4859,,,,
3/15/16 0:00,5137,,,,
3/16/16 0:00,4625,,,,
3/17/16 0:00,3471,,,,
3/18/16 0:00,3223,,,,
3/19/16 0:00,5353,,,,
3/20/16 0:00,7015,,,,
3/21/16 0:00,4476,,,,
3/22/16 0:00,5190,,,,
3/23/16 0:00,4831,,,,
3/24/16 0:00,4271,,,,
3/25/16 0:00,6503,,,,
3/26/16 0:00,8991,,,,
3/27/16 0:00,7206,,,,
3/28/16 0:00,5886,,,,
3/29/16 0:00,4138,,,,
3/30/16 0:00,3403,,,,
3/31/16 0:00,5645,,,,
4/1/16 0:00,1989,,,,
4/2/16 0:00,8925,,,,
4/3/16 0:00,8710,,,,
4/4/16 0:00,5769,,,,
4/5/16 0:00,5820,,,,
4/6/16 0:00,5470,,,,
4/7/16 0:00,5588,,,,
4/8/16 0:00,5030,,,,
4/9/16 0:00,6335,,,,
4/10/16 0:00,5754,,,,
4/11/16 0:00,4527,,,,
4/12/16 0:00,3874,,,,
4/13/16 0:00,3960,,,,
4/14/16 0:00,5483,,,,
4/15/16 0:00,5149,,,,
4/16/16 0:00,5345,,,,
4/17/16 0:00,2367,,,,
4/18/16 0:00,1389,,,,
4/19/16 0:00,4173,,,,
4/20/16 0:00,4230,,,,
4/21/16 0:00,3165,,,,
4/22/16 0:00,5531,,,,
4/23/16 0:00,8749,,,,
4/24/16 0:00,6961,,,,
4/25/16 0:00,4795,,,,
4/26/16 0:00,4618,,,,
4/27/16 0:00,4959,,,,
4/28/16 0:00,4931,,,,
4/29/16 0:00,3409,,,,
4/30/16 0:00,7999,,,,
5/1/16 0:00,7549,,,,
5/2/16 0:00,3834,,,,
5/3/16 0:00,6345,,,,
5/4/16 0:00,5809,,,,
5/5/16 0:00,5295,,,,
5/6/16 0:00,4929,,,,
5/7/16 0:00,7549,,,,
5/8/16 0:00,4284,,,,
5/9/16 0:00,5062,,,,
5/10/16 0:00,4654,,,,
5/11/16 0:00,4597,,,,
5/12/16 0:00,4541,,,,
5/13/16 0:00,4720,,,,
5/14/16 0:00,5196,,,,
5/15/16 0:00,6472,,,,
5/16/16 0:00,4462,,,,
5/17/16 0:00,4894,,,,
5/18/16 0:00,4873,,,,
5/19/16 0:00,1893,,,,
5/20/16 0:00,5811,,,,
5/21/16 0:00,7417,,,,
5/22/16 0:00,6730,,,,
5/23/16 0:00,4180,,,,
5/24/16 0:00,5008,,,,
5/25/16 0:00,7108,,,,
5/26/16 0:00,3462,,,,
5/27/16 0:00,3325,,,,
5/28/16 0:00,7109,,,,
5/29/16 0:00,6542,,,,
5/30/16 0:00,5530,,,,
5/31/16 0:00,3297,,,,
6/1/16 0:00,4833,,,,
6/2/16 0:00,3123,,,,
6/3/16 0:00,4346,,,,
6/4/16 0:00,5255,,,,
6/5/16 0:00,7357,,,,
6/6/16 0:00,4559,,,,
6/7/16 0:00,4389,,,,
6/8/16 0:00,3860,,,,
6/9/16 0:00,5394,,,,
6/10/16 0:00,3748,,,,
6/11/16 0:00,5841,,,,
6/12/16 0:00,4805,,,,
6/13/16 0:00,3299,,,,
6/14/16 0:00,3635,,,,
6/15/16 0:00,3167,,,,
6/16/16 0:00,3541,,,,
6/17/16 0:00,2985,,,,
6/18/16 0:00,4731,,,,
6/19/16 0:00,4555,,,,
6/20/16 0:00,3276,,,,
6/21/16 0:00,3345,,,,
6/22/16 0:00,6692,,,,
6/23/16 0:00,3404,,,,
6/24/16 0:00,3502,,,,
6/25/16 0:00,6976,,,,
6/26/16 0:00,4887,,,,
6/27/16 0:00,3606,,,,
6/28/16 0:00,2676,,,,
6/29/16 0:00,3577,,,,
6/30/16 0:00,2937,,,,
7/1/16 0:00,2860,,,,
7/2/16 0:00,4873,,,,
7/3/16 0:00,4169,,,,
7/4/16 0:00,4449,,,,
7/5/16 0:00,2424,,,,
7/6/16 0:00,2876,,,,
7/7/16 0:00,2721,,,,
7/8/16 0:00,2596,,,,
7/9/16 0:00,4572,,,,
7/10/16 0:00,4643,,,,
7/11/16 0:00,2797,,,,
7/12/16 0:00,3050,,,,
7/13/16 0:00,4560,,,,
7/14/16 0:00,2883,,,,
7/15/16 0:00,2624,,,,
7/16/16 0:00,5095,,,,
7/17/16 0:00,4422,,,,
7/18/16 0:00,2714,,,,
7/19/16 0:00,2972,,,,
7/20/16 0:00,2643,,,,
7/21/16 0:00,2929,,,,
7/22/16 0:00,2497,,,,
7/23/16 0:00,4541,,,,
7/24/16 0:00,3945,,,,
7/25/16 0:00,2480,,,,
7/26/16 0:00,3631,,,,
7/27/16 0:00,2339,,,,
7/28/16 0:00,3803,,,,
7/29/16 0:00,2892,,,,
7/30/16 0:00,4849,,,,
7/31/16 0:00,4044,,,,
8/1/16 0:00,2926,,,,
8/2/16 0:00,3218,,,,
8/3/16 0:00,3896,,,,
8/4/16 0:00,2748,,,,
8/5/16 0:00,2556,,,,
8/6/16 0:00,4737,,,,
8/7/16 0:00,3651,,,,
8/8/16 0:00,2640,,,,
8/9/16 0:00,2892,,,,
8/10/16 0:00,2528,,,,
8/11/16 0:00,2618,,,,
8/12/16 0:00,2466,,,,
8/13/16 0:00,4485,,,,
8/14/16 0:00,3886,,,,
8/15/16 0:00,1532,,,,
8/16/16 0:00,1274,,,,
8/17/16 0:00,2166,,,,
8/18/16 0:00,2522,,,,
8/19/16 0:00,2637,,,,
8/20/16 0:00,4686,,,,
8/21/16 0:00,4176,,,,
8/22/16 0:00,3193,,,,
8/23/16 0:00,3432,,,,
8/24/16 0:00,3525,,,,
8/25/16 0:00,4047,,,,
8/26/16 0:00,3351,,,,
8/27/16 0:00,5496,,,,
8/28/16 0:00,5691,,,,
8/29/16 0:00,3012,,,,
8/30/16 0:00,4016,,,,
