STATION,NAME,DATE,PRCP,TMAX,TMIN
USC00410433,"AUSTIN GREAT HILLS, TX US",2/17/16,0,79,45
USC00410433,"AUSTIN GREAT HILLS, TX US",2/18/16,0,73,46
USC00410433,"AUSTIN GREAT HILLS, TX US",2/19/16,0,77,53
USC00410433,"AUSTIN GREAT HILLS, TX US",2/20/16,0,79,62
USC00410433,"AUSTIN GREAT HILLS, TX US",2/21/16,0,73,63
USC00410433,"AUSTIN GREAT HILLS, TX US",2/22/16,0.01,68,57
USC00410433,"AUSTIN GREAT HILLS, TX US",2/23/16,1.38,72,54
USC00410433,"AUSTIN GREAT HILLS, TX US",2/24/16,0,55,41
USC00410433,"AUSTIN GREAT HILLS, TX US",2/25/16,0,64,35
USC00410433,"AUSTIN GREAT HILLS, TX US",2/26/16,0,67,35
USC00410433,"AUSTIN GREAT HILLS, TX US",2/27/16,0,64,35
USC00410433,"AUSTIN GREAT HILLS, TX US",2/28/16,0,71,42
USC00410433,"AUSTIN GREAT HILLS, TX US",2/29/16,0,76,54
USC00410433,"AUSTIN GREAT HILLS, TX US",3/1/16,0,77,61
USC00410433,"AUSTIN GREAT HILLS, TX US",3/2/16,0,80,44
USC00410433,"AUSTIN GREAT HILLS, TX US",3/3/16,0,76,44
USC00410433,"AUSTIN GREAT HILLS, TX US",3/4/16,0,81,43
USC00410433,"AUSTIN GREAT HILLS, TX US",3/5/16,0,75,44
USC00410433,"AUSTIN GREAT HILLS, TX US",3/6/16,0,78,56
USC00410433,"AUSTIN GREAT HILLS, TX US",3/7/16,0,74,57
USC00410433,"AUSTIN GREAT HILLS, TX US",3/8/16,0.02,74,62
USC00410433,"AUSTIN GREAT HILLS, TX US",3/9/16,1.48,82,56
USC00410433,"AUSTIN GREAT HILLS, TX US",3/10/16,1.1,58,56
USC00410433,"AUSTIN GREAT HILLS, TX US",3/11/16,0.25,60,56
USC00410433,"AUSTIN GREAT HILLS, TX US",3/12/16,0.2,67,55
USC00410433,"AUSTIN GREAT HILLS, TX US",3/13/16,0,73,54
USC00410433,"AUSTIN GREAT HILLS, TX US",3/14/16,0,84,51
USC00410433,"AUSTIN GREAT HILLS, TX US",3/15/16,0,93,51
USC00410433,"AUSTIN GREAT HILLS, TX US",3/16/16,0,91,59
USC00410433,"AUSTIN GREAT HILLS, TX US",3/17/16,0,81,59
USC00410433,"AUSTIN GREAT HILLS, TX US",3/18/16,0,77,65
USC00410433,"AUSTIN GREAT HILLS, TX US",3/19/16,0.1,78,44
USC00410433,"AUSTIN GREAT HILLS, TX US",3/20/16,0,62,37
USC00410433,"AUSTIN GREAT HILLS, TX US",3/21/16,0,63,32
USC00410433,"AUSTIN GREAT HILLS, TX US",3/22/16,0,68,32
USC00410433,"AUSTIN GREAT HILLS, TX US",3/23/16,0,76,47
USC00410433,"AUSTIN GREAT HILLS, TX US",3/24/16,0.17,80,49
USC00410433,"AUSTIN GREAT HILLS, TX US",3/25/16,0,68,37
USC00410433,"AUSTIN GREAT HILLS, TX US",3/26/16,0,74,37
USC00410433,"AUSTIN GREAT HILLS, TX US",3/27/16,0,74,49
USC00410433,"AUSTIN GREAT HILLS, TX US",3/28/16,0,73,45
USC00410433,"AUSTIN GREAT HILLS, TX US",3/29/16,0,74,45
USC00410433,"AUSTIN GREAT HILLS, TX US",3/30/16,0.06,67,60
